rmse_I,rmse_Beta,r2,time_predict,fraq_people,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
98.61552875512419,1.1246007748513955e-05,-0.6072848877115735,0.03800034523010254,0,305,10.0,148,0
85.83635343549373,9.893444824185607e-06,-0.5512688497364702,0.03699994087219238,0,293,10.0,150,0
153.5033772887388,9.941821124379452e-06,-0.5212069998430513,0.037000179290771484,0,495,10.0,150,0
1.4311150483067199,3.2672312179100097e-06,0.6331778600316516,0.004999876022338867,0,10,10.0,1,0
77.33689977523623,8.716434317748767e-06,-0.5604197028696298,0.03800010681152344,0,249,10.0,150,0
39.17638012720948,8.088415813811619e-06,-0.7862535676767772,0.03799748420715332,0,132,10.0,150,0
218.05468509615903,1.0850744926175558e-05,-0.4929155282600486,0.03799915313720703,0,698,10.0,150,0
619.2745522920754,2.635898571064434e-06,-1.215153656492736,0.00800013542175293,128,2383,1311.0206589095442,150,139
2825.4492219400954,6.386079439738258e-06,-3.648122345053661,0.018999814987182617,79,5180,1633.8415042580336,120,95
3252.6002912020354,8.429130699436485e-06,-1.5863133112612737,0.02200031280517578,71,7075,2014.8578611247501,112,91
3557.73413489699,4.40332667188935e-06,-1.8012877082003635,0.016008377075195312,91,7534,2693.543473481024,133,114
3541.2627013473607,7.4859938701924255e-06,-1.197449090682107,0.02099609375,76,8082,2548.0943901139253,114,100
3133.1874403231986,1.2294774612228716e-05,-0.34583973739689,0.024999380111694336,59,8264,2891.807706229075,98,83
3645.041999538915,6.83161803251975e-06,-1.2239965201457763,0.019006729125976562,79,8389,2741.9234930054236,117,104
3398.4029046225655,1.0336660883012164e-05,-0.38946684570451273,0.022991418838500977,66,8832,3015.4995505457987,104,91
3405.06235108777,1.1927230061913216e-05,-0.20451394922554678,0.0240020751953125,59,9419,3139.1897792555324,99,86
3285.509647635825,1.1533646396874938e-05,-0.05419468592492027,0.024007320404052734,58,9673,3442.216620396009,94,85
3416.070858962533,1.1338193552846114e-05,-0.100799311296913,0.023003339767456055,62,9933,3591.3801555231353,100,89
3471.777153631872,1.213450424605784e-05,-0.029781755407417565,0.023995637893676758,58,10305,3495.1977456239306,94,86
3504.868501618737,1.1078846725409516e-05,0.027487446197999366,0.02400064468383789,59,10581,3831.0702882422283,98,88
3447.647415159745,1.2574486720912728e-05,0.271369143083135,0.025007009506225586,57,12154,4849.438229004614,93,88
3838.8249856278526,9.19134424453867e-06,0.12172060902517257,0.022994041442871094,63,12158,4526.521128823083,101,95
3663.4212417694703,1.0388145955136353e-05,0.2138167510388408,0.02200007438659668,66,12453,5182.395763339583,103,96
3831.075253815563,1.1431317415974557e-05,0.2593956997535132,0.023999691009521484,59,12968,4992.957238665972,95,91
4229.086216143631,9.945119500188762e-06,0.08546789675301814,0.02200007438659668,68,13508,4737.003971596299,105,101
21.124803025920276,1.162666624073088e-05,-0.5794782932228926,0.0390019416809082,0,92,10.0,150,0
33.33441177091957,1.0451958904196995e-05,-0.8574223203845797,0.04000377655029297,0,93,10.0,150,0
1378.412015463331,4.377527209383949e-06,-5.360103614256486,0.01200246810913086,109,2698,1283.8383693061473,147,118
967.6890817858572,3.415817080526165e-06,-2.7161195303700563,0.00999760627746582,121,2578,1253.1286420124397,149,130
1506.6248134525736,3.969044171194223e-06,-3.366881926255166,0.013001441955566406,109,3270,1406.6146599583028,149,121
2406.3921240988816,4.452574254741535e-06,-4.141313630641562,0.015998363494873047,97,4168,1388.716855776176,137,110
2801.1335576747397,3.4654728906866407e-06,-1.9493228648657328,0.013004541397094727,105,5767,1864.3289994899312,145,123
2962.3927171178166,1.0534294013224021e-05,-0.6970430788875897,0.02499866485595703,61,7207,2394.5104123205147,101,83
3334.2333673690623,7.431423704203685e-06,-1.7557173929418002,0.021000146865844727,79,7198,2438.376167822826,117,101
3362.890698356789,9.124233186695111e-06,-1.04881609993891,0.02200150489807129,70,7649,2361.412037561333,110,93
3468.1716951337903,9.874135112958256e-06,-0.8732348898018403,0.021002531051635742,69,8196,2457.046251866374,108,93
3622.5158528628726,7.338901304714319e-06,-1.2289491501897571,0.018999814987182617,79,8420,2746.8276741286204,118,103
