rmse_I,rmse_Beta,time_predict,day,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
28520.855827096708,2.8553408430466538e-06,0.0,14,25138.0,42577.23271103909,19,27
23863.622797019227,2.375087362837434e-06,0.0,14,23928.0,35454.73780011108,19,28
36074.446790083195,5.320823016024145e-06,0.0,16,23953.0,65289.032647040316,21,26
22355.71277652553,2.3910524123300888e-06,0.0,14,21042.0,34072.12396764619,19,31
26993.407348989753,2.6885436412908745e-06,0.0,15,26126.0,39888.870973844685,20,28
28292.76430962656,2.925092471193693e-06,0.0,15,26709.0,43217.7552982875,20,28
4569.930674263887,5.091440173228274e-07,0.0,16,20872.0,15248.0,20,17
11581.523688865911,1.2544938650034482e-06,0.0,15,24345.0,16836.387557508722,20,25
27572.043835185188,2.7484347100796183e-06,0.0020189285278320312,14,26056.0,41090.00131350765,19,28
21907.408257813287,2.1232349893763147e-06,0.0,14,24857.0,31469.406780866768,19,29
6009.16167975009,8.329483326613954e-07,0.0,16,23176.0,13408.5,22,17
17303.482989852855,1.7037847210548315e-06,0.0,14,25189.0,24239.923911568756,19,29
35338.24276866378,5.361934115151771e-06,0.0,15,22278.0,66104.56096226105,20,25
7535.918628246021,1.0340498693602075e-06,0.0,15,25003.0,14495.416666666668,20,17
31657.47470473786,3.354848447419327e-06,0.0020265579223632812,14,25073.0,48946.66896348676,19,27
22938.90501626561,2.218520521874414e-06,0.0,14,25178.0,33762.25156556577,19,28
22357.234804356962,2.3320126412868764e-06,0.0,15,22876.0,32229.5805006189,21,32
25032.67083751192,2.520038689601337e-06,0.0,14,24131.0,38425.91905919965,18,27
33679.38750392448,4.342850021572291e-06,0.0,12,25402.0,58610.76865905887,18,23
24073.15675326236,2.4093087641297447e-06,0.008038043975830078,13,25444.0,36240.89869013304,18,26
24950.596899793236,2.400150339584751e-06,0.0020236968994140625,13,27849.0,36329.81420958428,18,26
29253.421164428946,3.0215034079246614e-06,0.0,13,26304.0,44746.89991800733,17,25
7967.564991600565,8.772516630080403e-07,0.0,14,27553.0,17255.055555555555,19,16
32848.15518707077,4.67929658869671e-06,0.0,13,25882.0,61426.331333977905,19,23
33256.26976782861,3.7713907616241844e-06,0.0,12,27969.0,53273.7344678674,17,24
31626.875090900492,3.979698380499906e-06,0.00801992416381836,13,26424.0,55527.3180587193,18,24
33399.85276595282,3.8353175961701175e-06,0.0,12,26839.0,53816.228409569,17,24
32323.883903280363,3.6634158500174396e-06,0.0,13,26718.0,51942.01483041757,18,25
28501.155389846677,3.022002561254528e-06,0.0,16,24679.0,43557.7720165243,22,31
18895.916840646383,2.1015076980875873e-06,0.0,17,24677.0,27551.82827459435,23,35
21920.80603714997,2.164528136860138e-06,0.0,17,24695.0,32066.43371019174,22,32
27968.801634280087,2.801008834905859e-06,0.0,17,22360.0,41808.47407815847,23,31
30340.61821558122,3.3274320986457587e-06,0.008023738861083984,17,24290.0,47575.849705987486,23,31
31825.361478186023,3.5774415928751853e-06,0.0,17,23523.0,50916.14603874778,22,30
35064.579564281215,4.271511730057995e-06,0.0,18,25021.0,57909.07223369961,23,29
28336.021544469942,3.015765163527762e-06,0.0,16,24314.0,44305.037859790405,21,31
31104.09941204709,4.356712597610825e-06,0.0,16,25291.0,58738.27110815878,21,27
29392.414799994942,3.254934430195121e-06,0.0,18,25036.0,47440.34318847797,22,31
25546.9074392471,2.4443181812705633e-06,0.0,13,27367.0,36864.562768533695,18,26
32155.46560330328,3.882512068650985e-06,0.0,13,26868.0,54147.35103346316,19,25
24828.620716233898,2.376056794633784e-06,0.0,13,27082.0,35864.28732246422,18,27
24488.490150346857,2.4262510095129056e-06,0.0,12,25461.0,35972.549117318806,18,27
24110.59467170161,2.3342086871093747e-06,0.0,13,25102.0,35072.82517616149,17,27
30741.96790849512,3.194591919852564e-06,0.0,12,26587.0,46956.53657741291,17,25
33049.7361121119,3.925853047865744e-06,0.0,13,25712.0,54689.59879918018,18,24
34240.02406322659,3.967090277449714e-06,0.008039236068725586,12,27117.0,55328.875817354376,18,24
30424.492150187758,3.184594085449414e-06,0.0,13,27135.0,46670.5547627382,18,26
34449.861674314,4.306792204216111e-06,0.0,12,26162.0,58252.08543364822,18,24
33935.40759201269,3.8760983023805414e-06,0.0,12,27491.0,54465.676833063,17,24
15076.295804950083,1.5218989675955516e-06,0.0,12,26304.0,21361.77947977598,17,25
32886.00825884282,3.6016144179973902e-06,0.0,12,27057.0,51717.046378636725,18,24
33144.408822554804,3.60626131123828e-06,0.0,11,26566.0,51886.56844360154,16,23
27988.19848718059,2.7385643810967974e-06,0.0,12,27898.0,41042.451744443504,17,26
32282.76399910452,3.3124236302318204e-06,0.0,12,27812.0,48812.188247754406,17,24
33137.5711328743,3.695133142594204e-06,0.0,11,27056.0,52532.841143158614,17,24
28146.502905649588,2.719746685007456e-06,0.002016782760620117,12,28184.0,41023.25144479304,17,25
34650.22723522925,4.00718630935845e-06,0.0,12,27789.0,55691.58807115972,17,23
28839.64164425404,2.8529028961112592e-06,0.0,12,28170.0,42580.30266385933,17,25
17566.574573250775,1.986946410658665e-06,0.0,44,10674.0,24497.369390155185,51,67
36132.56852839895,2.860983030145364e-06,0.0,19,28721.0,62663.796582456416,26,33
11653.45167063865,1.1047340309500804e-06,0.0,21,16241.0,17283.58791487706,27,42
24505.028528226085,1.6407466750252185e-06,0.0,22,25765.0,35415.43266359916,26,39
29561.222278287027,2.504823857832268e-06,0.0,19,30154.0,57194.9544894716,26,34
29121.780844700865,2.018721208606925e-06,0.0,20,30483.0,45561.17706047745,26,35
34765.523558825575,2.7926992926220177e-06,0.0,20,18669.0,60920.01290351261,25,34
31890.21218675469,2.0718346800690216e-06,0.0,20,21633.0,45087.31391323973,24,36
31204.139322187522,2.114844279131012e-06,0.0,19,21599.0,47385.71829864464,24,35
34661.25986328732,2.504858986175956e-06,0.0,20,23148.0,55502.47356438327,25,35
29043.68389628528,2.1628405712741085e-06,0.0,19,26473.0,49502.84084685682,25,35
24612.260534531324,1.8494303494652925e-06,0.008043527603149414,17,27284.0,41966.600096425675,21,33
30846.407703247074,2.442071248060487e-06,0.0,17,28074.0,55169.75136799578,23,32
33753.380086309175,2.557147319562784e-06,0.0022249221801757812,18,21751.0,57655.3956330401,25,33
39785.66664035636,4.490692639811087e-06,0.0,18,26891.0,83865.083387212,22,28
26410.888689346928,1.829195412231159e-06,0.0,19,31236.0,40629.02953679148,25,37
34873.255724072915,3.275883395110971e-06,0.0,18,27522.0,70141.99638948907,24,31
37367.63298014724,4.50853940679704e-06,0.0,17,27983.0,84126.85533574472,24,27
25147.991498878917,1.7073727848447827e-06,0.0,19,20660.0,38292.25204011662,28,37
29120.78837687357,2.08631661808358e-06,0.0,18,28282.0,47126.720404197025,25,34
42075.62043456465,4.951753229732585e-06,0.0,16,29775.0,87942.63356750106,22,26
39306.19821523172,3.1872449609659113e-06,0.0,18,31986.0,67436.73355610695,26,31
38410.29729121586,4.613970823186046e-06,0.0,15,27565.0,85092.6654818217,21,25
36034.05073223078,2.952749201502719e-06,0.0,16,32152.0,66145.65214102247,22,29
39742.985210914725,5.480334680937808e-06,0.0020232200622558594,14,25763.0,92168.46440564869,19,24
30759.322371658698,2.1892529961655273e-06,0.0,17,26700.0,50373.998529561395,22,32
31331.94231369569,2.389585253623861e-06,0.0,16,23843.0,54659.44913358988,22,31
44751.665874221166,3.7664970875344134e-06,0.0,16,27190.0,76025.49290513036,22,27
30705.994542797314,2.2572562355301767e-06,0.0,17,30725.0,51135.21430820633,22,33
33852.06218392543,2.979477680522141e-06,0.0,18,30854.0,63248.60519942372,25,32
33164.50437565942,2.4241290437373424e-06,0.0,16,27959.0,54921.56192684035,24,32
29332.70675309889,1.9502108263008374e-06,0.002020597457885742,15,25594.0,44642.49298021292,21,33
13581.89421527703,1.1303635101655297e-06,0.0,15,29687.0,17798.384387950988,22,35
16755.514344281677,1.2078042916742112e-06,0.0,15,23063.0,23955.359271081943,21,33
37653.125405902465,3.1835999442494306e-06,0.0,15,26774.0,69154.72092127259,19,27
12905.837891397265,1.025804087768638e-06,0.0,15,31267.0,18070.641056453016,20,28
38548.4708287743,3.211523539035814e-06,0.0,17,32111.0,69525.04477806638,23,29
35235.39432399858,4.286571654919694e-06,0.0,14,33769.0,83258.7887253158,20,25
28800.83863900533,1.818192947385522e-06,0.0,15,36827.0,43467.13407067364,21,30
35423.378571547495,3.5493294565548406e-06,0.0,15,35899.0,74724.17101135346,20,26
39241.773702346254,5.8524278081892375e-06,0.0,12,32331.0,95389.45110723955,19,21
39229.95853923529,3.9670650510369764e-06,0.0,13,33371.0,79461.63122327218,17,23
37224.4724063602,2.9939183851764564e-06,0.0,13,27417.0,65937.19409156653,19,25
38435.802880759344,2.8795417257928044e-06,0.0,13,36889.0,64903.238401340015,19,24
40902.0908049724,4.829557239018422e-06,0.008034944534301758,14,35460.0,87567.66857325431,20,23
33790.34302464809,2.5011973513598557e-06,0.0,13,34418.0,58355.89011656733,19,25
38561.45627607644,4.843395002103591e-06,0.0,13,35073.0,87635.69663225276,18,23
41879.508550221864,4.31126060325541e-06,0.0,12,31885.0,82461.33202659138,18,23
35539.4933294436,2.7050994670557034e-06,0.0,13,31268.0,60880.09348296776,19,26
40956.44997100185,5.1455505804422675e-06,0.0,13,35906.0,90361.00557558726,19,22
36574.127377980396,2.337991778489881e-06,0.0,13,38232.0,55407.75925377519,18,25
20887.130221902065,1.4335609589187554e-06,0.0,14,27547.0,29798.115190275512,19,32
42038.883270410435,5.889832357161225e-06,0.0,12,37325.0,95823.31018985073,19,21
39867.97614849865,4.44362821794067e-06,0.0,12,38606.0,84523.6699124243,18,22
41735.71477085916,6.1513055222890206e-06,0.008039712905883789,12,38588.0,97622.85092255552,18,21
39618.09986435416,4.2179055818478915e-06,0.0,13,37325.0,82070.36751529176,19,23
39553.75329273369,3.791793664548938e-06,0.002032041549682617,13,37575.0,77666.75385660931,19,24
42704.540614755264,3.951763995103089e-06,0.0,12,35245.0,79071.29645661199,19,24
43571.816575746714,4.102850295438066e-06,0.0,12,35784.0,80959.36994157072,18,22
45996.191879375154,5.140411217767878e-06,0.0,12,37790.0,90668.10647498863,18,21
43711.660617429094,4.333536606134332e-06,0.0,12,38396.0,83540.74252340313,17,22
46107.02096610599,6.0396720728496455e-06,0.0,11,37995.0,97302.439374245,18,20
44284.464410230365,3.7471337240035495e-06,0.0,12,37661.0,77060.6539383096,17,23
42407.982722880515,3.854471382846911e-06,0.0,12,37292.0,78341.5200956586,17,22
44231.309561261674,5.74773362037422e-06,0.0,11,36624.0,95216.33268469176,17,20
42321.26987153727,3.555297034975654e-06,0.0020356178283691406,11,38294.0,75051.36139961399,16,22
46104.7967075048,6.1019830460836105e-06,0.0,12,39073.0,97507.26022922892,18,21
42788.594813015414,4.304848646886297e-06,0.0,11,38016.0,83500.34495221436,16,21
41340.52311433897,5.086001320589058e-06,0.0,11,38427.0,90178.67149348443,17,20
43983.564930240434,7.294732785147233e-06,0.0,11,39899.0,103758.14199581802,17,19
35883.57143526894,3.367197115164617e-06,0.0,11,39334.0,73249.63521855389,16,21
36081.14781238366,2.7991806694237e-06,0.0,11,36468.0,64099.62802375046,16,22
37218.31408289168,4.108609109001952e-06,0.0,11,38980.0,81777.78649941475,16,21
38304.368063435824,6.717840541520525e-06,0.0,10,38622.0,100403.66653091459,16,19
44000.53854884891,6.0212454109361826e-06,0.0,10,37487.0,96827.01891926085,16,19
39486.21246947194,7.175784861412751e-06,0.002016782760620117,10,39789.0,103171.94984851264,16,18
37510.859390727186,3.7800545394902516e-06,0.0,11,39397.0,78456.99091596135,16,21
39588.122917823406,4.3974592318695546e-06,0.0,11,39188.0,84395.5736262247,16,21
39293.944439961015,3.6958936019156473e-06,0.0,11,38985.0,76526.56149594294,17,21
35859.05260992964,2.3765103552865233e-06,0.0,11,37846.0,55656.69799323762,17,24
46195.809368001166,4.1293627853913985e-06,0.0,11,39479.0,82143.28287957494,17,21
44085.80711262003,3.6467558644547978e-06,0.008047103881835938,11,38379.0,76301.27507096468,17,22
45890.73955726848,4.629194769554298e-06,0.0,11,37416.0,86625.26643148072,18,21
44991.77852794348,4.146661502704895e-06,0.0,11,39764.0,81788.30186083668,17,22
44780.717829083485,5.018833742526338e-06,0.0,11,39173.0,89759.27142570808,17,20
47715.09134170757,5.294163889593536e-06,0.0,11,39715.0,92529.89685717961,17,20
45417.94170596683,4.855967393050616e-06,0.0,11,38819.0,88635.42375476795,17,21
46731.0120845853,4.41576639306686e-06,0.0,11,39074.0,84929.96855242526,17,21
44611.43598003137,3.801134027148649e-06,0.0,11,38859.0,77977.48927253451,17,22
46335.610494175686,4.926178499599954e-06,0.0,11,38729.0,89196.56403058494,17,20
14407.93948081093,9.18624782690889e-07,0.0020275115966796875,44,12826.0,23430.27504610495,49,69
23219.48591439415,1.173145479611481e-06,0.0,43,19895.0,32915.25283189485,50,66
13958.829538825123,8.985283523232428e-07,0.0,39,14464.0,20519.060946490044,47,64
37487.17815017652,1.9361288720956267e-06,0.0,21,21664.0,62729.39424982948,27,38
29301.17872405246,1.4302099525300567e-06,0.0,21,20297.0,45021.798287133075,27,40
23404.076953815656,1.3493090323005987e-06,0.0,21,22525.0,35346.41884171446,28,42
40709.92114289213,1.8474693636510162e-06,0.0,20,32150.0,60102.442122434186,26,36
34293.95856362829,1.6902125047505866e-06,0.0,18,31833.0,51788.59091219396,25,37
35180.3572304478,2.333679466123716e-06,0.0,22,33021.0,73960.18558948365,27,35
33198.60758744585,1.713442986168873e-06,0.0,22,26749.0,55009.573438281644,29,38
42274.17641725507,2.2957589723951565e-06,0.0,20,26624.0,72710.61772338623,26,35
38835.591686781285,1.8566626133671415e-06,0.0,19,25542.0,59652.898090195515,25,37
