,beta,init_rec_frac
510,0.33,0.48
511,0.33,0.49
512,0.33,0.51
513,0.33,0.52
514,0.33,0.53
515,0.33,0.54
516,0.33,0.55
517,0.33,0.56
518,0.33,0.57
519,0.33,0.58
520,0.33,0.59
521,0.33,0.6
522,0.33,0.61
523,0.33,0.62
524,0.33,0.63
525,0.33,0.64
526,0.33,0.65
527,0.33,0.66
528,0.33,0.67
529,0.33,0.68
530,0.33,0.69
531,0.33,0.7
532,0.33,0.71
533,0.33,0.72
534,0.33,0.73
535,0.33,0.74
536,0.33,0.75
537,0.33,0.76
538,0.33,0.77
539,0.33,0.78
540,0.33,0.79
541,0.33,0.8
542,0.33,0.81
543,0.33,0.82
544,0.33,0.83
545,0.33,0.84
546,0.33,0.85
547,0.33,0.86
548,0.33,0.87
549,0.33,0.88
550,0.33,0.89
551,0.33,0.9
552,0.33,0.91
553,0.33,0.92
554,0.33,0.93
555,0.33,0.94
556,0.33,0.95
557,0.33,0.96
558,0.33,0.97
559,0.33,0.98
560,0.33,0.99
561,0.34,0.32
562,0.34,0.39
563,0.34,0.41
564,0.34,0.43
565,0.34,0.46
566,0.34,0.47
567,0.34,0.48
568,0.34,0.49
569,0.34,0.5
570,0.34,0.51
571,0.34,0.52
572,0.34,0.53
573,0.34,0.54
574,0.34,0.55
575,0.34,0.56
576,0.34,0.57
577,0.34,0.58
578,0.34,0.59
579,0.34,0.6
580,0.34,0.61
581,0.34,0.62
582,0.34,0.63
583,0.34,0.64
584,0.34,0.65
585,0.34,0.66
586,0.34,0.67
587,0.34,0.68
588,0.34,0.69
589,0.34,0.7
590,0.34,0.71
591,0.34,0.72
592,0.34,0.73
593,0.34,0.74
594,0.34,0.75
595,0.34,0.76
596,0.34,0.77
597,0.34,0.78
598,0.34,0.79
599,0.34,0.8
600,0.34,0.81
601,0.34,0.82
602,0.34,0.83
603,0.34,0.84
604,0.34,0.85
605,0.34,0.86
606,0.34,0.87
607,0.34,0.88
608,0.34,0.89
609,0.34,0.9
610,0.34,0.91
611,0.34,0.92
612,0.34,0.93
613,0.34,0.94
614,0.34,0.95
615,0.34,0.96
616,0.34,0.97
617,0.34,0.98
618,0.34,0.99
619,0.35,0.33
620,0.35,0.35
621,0.35,0.4
622,0.35,0.41
623,0.35,0.43
624,0.35,0.44
625,0.35,0.45
626,0.35,0.46
627,0.35,0.47
628,0.35,0.48
629,0.35,0.49
630,0.35,0.5
631,0.35,0.51
632,0.35,0.52
633,0.35,0.53
634,0.35,0.54
635,0.35,0.55
636,0.35,0.56
637,0.35,0.57
638,0.35,0.58
639,0.35,0.59
640,0.35,0.6
641,0.35,0.61
642,0.35,0.62
643,0.35,0.63
644,0.35,0.64
645,0.35,0.65
646,0.35,0.66
647,0.35,0.67
648,0.35,0.68
649,0.35,0.69
650,0.35,0.7
651,0.35,0.71
652,0.35,0.72
653,0.35,0.73
654,0.35,0.74
655,0.35,0.75
656,0.35,0.76
657,0.35,0.77
658,0.35,0.78
659,0.35,0.79
660,0.35,0.8
661,0.35,0.81
662,0.35,0.82
663,0.35,0.83
664,0.35,0.84
665,0.35,0.85
666,0.35,0.86
667,0.35,0.87
668,0.35,0.88
669,0.35,0.89
670,0.35,0.9
671,0.35,0.91
672,0.35,0.92
673,0.35,0.93
674,0.35,0.94
675,0.35,0.95
676,0.35,0.96
677,0.35,0.97
678,0.35,0.98
679,0.35,0.99
680,0.36,0.3
681,0.36,0.32
682,0.36,0.35
683,0.36,0.39
684,0.36,0.4
685,0.36,0.41
686,0.36,0.42
687,0.36,0.43
688,0.36,0.44
689,0.36,0.45
690,0.36,0.46
691,0.36,0.47
692,0.36,0.48
693,0.36,0.5
694,0.36,0.51
695,0.36,0.52
696,0.36,0.53
697,0.36,0.54
698,0.36,0.55
699,0.36,0.56
700,0.36,0.57
701,0.36,0.58
702,0.36,0.59
703,0.36,0.6
704,0.36,0.61
705,0.36,0.62
706,0.36,0.63
707,0.36,0.64
708,0.36,0.65
709,0.36,0.66
710,0.36,0.67
711,0.36,0.68
712,0.36,0.69
713,0.36,0.7
714,0.36,0.71
715,0.36,0.72
716,0.36,0.73
717,0.36,0.74
718,0.36,0.75
719,0.36,0.76
720,0.36,0.77
721,0.36,0.78
722,0.36,0.79
723,0.36,0.8
724,0.36,0.81
725,0.36,0.82
726,0.36,0.83
727,0.36,0.84
728,0.36,0.85
729,0.36,0.86
730,0.36,0.87
731,0.36,0.88
732,0.36,0.89
733,0.36,0.9
734,0.36,0.91
735,0.36,0.92
736,0.36,0.93
737,0.36,0.94
738,0.36,0.95
739,0.36,0.96
740,0.36,0.97
741,0.36,0.98
742,0.36,0.99
743,0.37,0.34
744,0.37,0.37
745,0.37,0.38
746,0.37,0.4
747,0.37,0.41
748,0.37,0.42
749,0.37,0.43
750,0.37,0.44
751,0.37,0.45
752,0.37,0.46
753,0.37,0.47
754,0.37,0.48
755,0.37,0.49
756,0.37,0.5
757,0.37,0.51
758,0.37,0.52
759,0.37,0.53
760,0.37,0.54
761,0.37,0.55
762,0.37,0.56
763,0.37,0.57
764,0.37,0.58
765,0.37,0.59
766,0.37,0.6
767,0.37,0.61
768,0.37,0.62
769,0.37,0.63
770,0.37,0.64
771,0.37,0.65
772,0.37,0.66
773,0.37,0.67
774,0.37,0.68
775,0.37,0.69
776,0.37,0.7
777,0.37,0.71
778,0.37,0.72
779,0.37,0.73
780,0.37,0.74
781,0.37,0.75
782,0.37,0.76
783,0.37,0.77
784,0.37,0.78
785,0.37,0.79
786,0.37,0.8
787,0.37,0.81
788,0.37,0.82
789,0.37,0.83
790,0.37,0.84
791,0.37,0.85
792,0.37,0.86
793,0.37,0.87
794,0.37,0.88
795,0.37,0.89
796,0.37,0.9
797,0.37,0.91
798,0.37,0.92
799,0.37,0.93
800,0.37,0.94
801,0.37,0.95
802,0.37,0.96
803,0.37,0.97
804,0.37,0.98
805,0.37,0.99
806,0.38,0.32
807,0.38,0.34
808,0.38,0.41
809,0.38,0.42
810,0.38,0.43
811,0.38,0.44
812,0.38,0.45
813,0.38,0.46
814,0.38,0.47
815,0.38,0.48
816,0.38,0.49
817,0.38,0.5
818,0.38,0.51
819,0.38,0.52
820,0.38,0.53
821,0.38,0.54
822,0.38,0.55
823,0.38,0.56
824,0.38,0.57
825,0.38,0.58
826,0.38,0.59
827,0.38,0.6
828,0.38,0.61
829,0.38,0.62
830,0.38,0.63
831,0.38,0.64
832,0.38,0.65
833,0.38,0.66
834,0.38,0.67
835,0.38,0.68
836,0.38,0.69
837,0.38,0.7
838,0.38,0.71
839,0.38,0.72
840,0.38,0.73
841,0.38,0.74
842,0.38,0.75
843,0.38,0.76
844,0.38,0.77
845,0.38,0.78
846,0.38,0.79
847,0.38,0.8
848,0.38,0.81
849,0.38,0.82
850,0.38,0.83
851,0.38,0.84
852,0.38,0.85
853,0.38,0.86
854,0.38,0.87
855,0.38,0.88
856,0.38,0.89
857,0.38,0.9
858,0.38,0.91
859,0.38,0.92
860,0.38,0.93
861,0.38,0.94
862,0.38,0.95
863,0.38,0.96
864,0.38,0.97
865,0.38,0.98
866,0.38,0.99
867,0.39,0.27
868,0.39,0.29
869,0.39,0.3
870,0.39,0.37
871,0.39,0.38
872,0.39,0.39
873,0.39,0.4
874,0.39,0.41
875,0.39,0.42
876,0.39,0.43
877,0.39,0.44
878,0.39,0.45
879,0.39,0.46
880,0.39,0.47
881,0.39,0.48
882,0.39,0.49
883,0.39,0.5
884,0.39,0.51
885,0.39,0.52
886,0.39,0.53
887,0.39,0.54
888,0.39,0.55
889,0.39,0.56
890,0.39,0.57
891,0.39,0.58
892,0.39,0.59
893,0.39,0.6
894,0.39,0.61
895,0.39,0.62
896,0.39,0.63
897,0.39,0.64
898,0.39,0.65
899,0.39,0.66
900,0.39,0.67
901,0.39,0.68
902,0.39,0.69
903,0.39,0.7
904,0.39,0.71
905,0.39,0.72
906,0.39,0.73
907,0.39,0.74
908,0.39,0.75
909,0.39,0.76
910,0.39,0.77
911,0.39,0.78
912,0.39,0.79
913,0.39,0.8
914,0.39,0.81
915,0.39,0.82
916,0.39,0.83
917,0.39,0.84
918,0.39,0.85
919,0.39,0.86
920,0.39,0.87
921,0.39,0.88
922,0.39,0.89
923,0.39,0.9
924,0.39,0.91
925,0.39,0.92
926,0.39,0.93
927,0.39,0.94
928,0.39,0.95
929,0.39,0.96
930,0.39,0.97
931,0.39,0.98
932,0.39,0.99
933,0.4,0.31
934,0.4,0.32
935,0.4,0.35
936,0.4,0.36
937,0.4,0.37
938,0.4,0.38
939,0.4,0.39
940,0.4,0.4
941,0.4,0.41
942,0.4,0.42
943,0.4,0.43
944,0.4,0.44
945,0.4,0.45
946,0.4,0.46
947,0.4,0.47
948,0.4,0.48
949,0.4,0.49
950,0.4,0.5
951,0.4,0.51
952,0.4,0.52
953,0.4,0.53
954,0.4,0.54
955,0.4,0.55
956,0.4,0.56
957,0.4,0.57
958,0.4,0.58
959,0.4,0.59
960,0.4,0.6
961,0.4,0.61
962,0.4,0.62
963,0.4,0.63
964,0.4,0.64
965,0.4,0.65
966,0.4,0.66
967,0.4,0.67
968,0.4,0.68
969,0.4,0.69
970,0.4,0.7
971,0.4,0.71
972,0.4,0.72
973,0.4,0.73
974,0.4,0.74
975,0.4,0.75
976,0.4,0.76
977,0.4,0.77
978,0.4,0.78
979,0.4,0.79
980,0.4,0.8
981,0.4,0.81
982,0.4,0.82
983,0.4,0.83
984,0.4,0.84
985,0.4,0.85
986,0.4,0.86
987,0.4,0.87
988,0.4,0.88
989,0.4,0.89
990,0.4,0.9
991,0.4,0.91
992,0.4,0.92
993,0.4,0.93
994,0.4,0.94
995,0.4,0.95
996,0.4,0.96
997,0.4,0.97
998,0.4,0.98
999,0.4,0.99
1000,0.41,0.3
1001,0.41,0.32
1002,0.41,0.33
1003,0.41,0.34
1004,0.41,0.35
1005,0.41,0.37
1006,0.41,0.38
1007,0.41,0.4
1008,0.41,0.41
1009,0.41,0.42
1010,0.41,0.43
1011,0.41,0.44
1012,0.41,0.45
1013,0.41,0.46
1014,0.41,0.47
1015,0.41,0.48
1016,0.41,0.49
1017,0.41,0.5
1018,0.41,0.51
1019,0.41,0.52
1020,0.41,0.53
1021,0.41,0.54
1022,0.41,0.55
1023,0.41,0.56
1024,0.41,0.57
1025,0.41,0.58
1026,0.41,0.59
1027,0.41,0.6
1028,0.41,0.61
1029,0.41,0.62
1030,0.41,0.63
1031,0.41,0.64
1032,0.41,0.65
1033,0.41,0.66
1034,0.41,0.67
1035,0.41,0.68
1036,0.41,0.69
1037,0.41,0.7
1038,0.41,0.71
1039,0.41,0.72
1040,0.41,0.73
1041,0.41,0.74
1042,0.41,0.75
1043,0.41,0.76
1044,0.41,0.77
1045,0.41,0.78
1046,0.41,0.79
1047,0.41,0.8
1048,0.41,0.81
1049,0.41,0.82
1050,0.41,0.83
1051,0.41,0.84
1052,0.41,0.85
1053,0.41,0.86
1054,0.41,0.87
1055,0.41,0.88
1056,0.41,0.89
1057,0.41,0.9
1058,0.41,0.91
1059,0.41,0.92
1060,0.41,0.93
1061,0.41,0.94
1062,0.41,0.95
1063,0.41,0.96
1064,0.41,0.97
1065,0.41,0.98
1066,0.41,0.99
1067,0.42,0.3
1068,0.42,0.32
1069,0.42,0.33
1070,0.42,0.34
1071,0.42,0.35
1072,0.42,0.36
1073,0.42,0.37
1074,0.42,0.38
1075,0.42,0.39
1076,0.42,0.4
1077,0.42,0.41
1078,0.42,0.42
1079,0.42,0.43
