rmse_I,rmse_Beta,time_predict,roll_var_seq,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
3747.0542918952788,4.39010494513303e-06,10.40508484840393,14,12029,18601.85257129876,100,79
3844.0478018295944,5.122198078009468e-06,10.38392162322998,14,12136,18651.20851304884,103,79
3950.2388281358294,4.394589806827898e-06,10.462599039077759,14,11752,18664.97258411728,97,78
3849.6697170615826,4.3994543290417085e-06,10.477282762527466,14,11842,18675.125578642852,96,77
3851.905239496726,4.213920475209872e-06,10.31001901626587,14,12015,18678.91520806057,98,77
3835.11963712925,4.59122580955711e-06,10.475412607192993,14,12054,18691.85005562966,96,76
3817.903026531677,5.377443931930391e-06,10.437864303588867,14,12041,18758.94614588857,95,76
3802.320220499668,4.431747879081988e-06,10.392238855361938,14,11970,18685.81053901461,99,77
3675.916792269648,4.756401438340961e-06,10.42070198059082,14,11929,18668.384891775222,93,76
3843.2377711367617,4.054876005197117e-06,10.402405023574829,14,11992,18746.91747217164,96,76
3795.263147933005,4.40744449205251e-06,10.41705846786499,14,12024,18727.820456389578,95,76
3695.5459817085866,4.741569973464414e-06,10.472556591033936,14,11978,18680.889400605276,95,76
3796.5581187547946,4.890406392710673e-06,10.342396974563599,14,11841,18751.298166160563,92,76
2563.4120685473604,5.382307593429791e-06,10.46640157699585,14,14035,18334.62438580941,99,88
2739.5440895213274,5.123668644797683e-06,10.409223794937134,14,14151,18368.88575413111,105,88
2761.599904785105,6.848043012034361e-06,10.350865840911865,14,14144,18473.263976507802,101,87
2806.830997393237,5.940611993801238e-06,10.403192281723022,14,14139,18457.1856865593,102,86
2864.11728325794,5.814399238265059e-06,10.48624038696289,14,14178,18500.070625367756,100,86
3018.0760804579027,6.43989165773349e-06,10.382871389389038,14,14273,18530.29268908185,101,86
2511.6186083331377,5.81086873619933e-06,10.564088582992554,14,14395,18416.830752082376,103,87
2986.7771541557977,6.537402519988744e-06,10.440407514572144,14,14294,18522.17907135652,103,86
3111.111770754727,5.833881092979104e-06,10.378151416778564,14,14155,18558.125293252982,100,85
2598.0411603901384,8.478163233003937e-06,10.454222679138184,14,14601,18414.0417567158,104,87
2792.6203960574703,6.429311063212421e-06,10.351686000823975,14,14742,18650.665127488213,99,82
2899.022777448909,6.1393613970879335e-06,10.455728530883789,14,14023,18626.762330903595,94,82
2876.45467725754,7.2896198661514126e-06,10.531718969345093,14,14237,18658.97956941776,101,82
2718.8682495864114,5.64786115184093e-06,10.491220951080322,14,14607,18668.801189566344,96,82
2844.1200651162953,5.881984199968201e-06,10.52809762954712,14,14173,18642.816636729818,97,82
2974.74011012613,6.3858619915089635e-06,10.56094217300415,14,14073,18680.827141703867,98,82
2884.006752831481,6.601845892370635e-06,10.497557401657104,14,14251,18700.643108463195,98,81
2605.601971394559,5.610762166662114e-06,10.461701393127441,14,14135,18521.390668054188,98,84
2809.6627628818646,4.9369540070468105e-06,10.445685625076294,14,14284,18617.74404288688,95,82
2863.468824501837,6.766580308179135e-06,10.48160982131958,14,14301,18649.945846753737,100,82
2625.3637558722635,6.9487352653839105e-06,10.434316635131836,14,14635,18721.66716663332,97,79
2644.7350272979966,6.6035201529665135e-06,10.496459245681763,14,14252,18658.87718180584,92,80
2777.464305085395,5.1954426923671775e-06,10.582014083862305,14,14208,18782.614271566752,92,78
2761.6947087112626,6.578748741985901e-06,10.680869102478027,14,14454,18752.083186587814,92,79
2821.68430839461,8.211988148851549e-06,10.80275297164917,14,14309,18739.945829565775,94,79
2827.3428620697623,6.4499583836566805e-06,10.872650384902954,14,14490,18767.153766322903,96,78
2818.56899704367,5.307465186396164e-06,10.749058485031128,14,14601,18760.784558883053,94,79
2937.6221485270275,7.331523527261773e-06,10.834866762161255,14,14242,18790.56331077288,93,78
2820.8278997665293,5.724789599961424e-06,10.582191467285156,14,14528,18753.581503341844,95,79
2729.9847307043533,7.1176733177247275e-06,10.553358554840088,14,14387,18729.732490432274,94,79
2816.9639943266116,7.2621761983350184e-06,10.615635871887207,14,14376,18874.14617486053,90,76
2859.1892960689356,6.7047371873633575e-06,10.59133529663086,14,14234,18868.345169311935,92,76
2703.3368766358776,1.016989633925491e-05,10.576143264770508,14,14560,18846.68722517918,87,76
2791.2434004349075,6.6094150952514316e-06,10.714357614517212,14,14459,18849.768390399953,90,75
2786.4864149844952,8.619669827324173e-06,13.017581462860107,14,14220,18795.946175203815,90,77
2652.61694665243,8.812952350666059e-06,10.367253541946411,14,14595,18810.391352880764,94,76
2743.7934751660378,7.021772436349712e-06,10.400874614715576,14,14373,18817.724277909325,93,76
2552.611357514253,8.20157132478333e-06,10.3692307472229,14,15095,18861.855006343383,91,76
2755.229753478402,7.980796051675673e-06,10.369294881820679,14,14647,18847.920357323794,91,76
2747.3741979503143,6.883309983124892e-06,10.569690704345703,14,14555,18905.840083322604,89,75
2747.6604575158676,4.988485578399691e-06,10.992884397506714,14,14372,18901.386023649728,89,74
2491.031830101908,5.148675272592154e-06,10.602130651473999,14,14717,18905.555538745237,86,74
2476.132904140606,9.397120063716627e-06,10.697768449783325,14,14491,18860.690577153808,84,74
2583.9283347013297,9.67505269003518e-06,10.462432384490967,14,14690,18939.074687458637,87,73
2565.5421738648142,6.652051586084325e-06,10.44382357597351,14,14648,18913.35968068691,88,74
2668.0885610053556,7.664475912179875e-06,10.483625888824463,14,14455,18943.605184732976,85,74
2765.946586798949,9.778354043470143e-06,11.195611953735352,14,14588,18943.218795599583,89,74
2526.3967000885486,8.247763397022424e-06,11.13200044631958,14,14342,18882.862874923558,91,74
2565.279742029876,7.754656555748454e-06,11.290998697280884,14,14681,18884.045370013246,87,74
2689.799016372994,1.2107348549373167e-05,11.343999862670898,14,14534,18899.382908033618,89,74
2767.190298594135,6.39597834973732e-06,11.247082233428955,14,14543,19040.97255440217,85,72
2615.500478048092,7.510132602924322e-06,11.273000240325928,14,14562,19001.644035902216,85,72
2683.449046973814,8.691948424789844e-06,11.205001831054688,14,14515,18994.573178350467,88,72
2625.155346241153,9.018991084541657e-06,11.22071361541748,14,14714,19030.49087921959,85,71
2786.0298726143233,6.829975891713249e-06,11.315893173217773,14,14525,18995.228972635545,88,72
2642.5550983649982,7.617152340099539e-06,11.267463445663452,14,14373,18953.151801435095,86,72
2524.6224841138605,8.348964938888137e-06,11.27601146697998,14,14683,18988.08640248291,84,72
2587.987730378787,6.802386840198913e-06,11.139002799987793,14,14497,18971.430844763116,86,72
2610.0175109085762,7.357188012071905e-06,11.219027757644653,14,14356,19022.96378132367,84,72
2668.391479106826,6.606528658221772e-06,11.219002962112427,14,14641,18972.425484230636,88,72
1967.44722562521,1.0908729637024227e-05,11.309770345687866,14,16319,18715.729426153408,94,82
1720.3981717736053,7.140267859812202e-06,11.328333139419556,14,16516,18759.80289584752,94,81
1608.934142388457,3.4791196262470496e-06,11.211273193359375,14,16747,18754.099725245454,90,81
1779.5445278164684,1.912277868100266e-05,11.245217561721802,14,16489,18683.484774364664,92,82
1650.8456427678293,1.1641900322290617e-05,11.140063762664795,14,16383,18750.290611507324,92,81
1724.5491166707716,1.9351544733715368e-05,11.243000507354736,14,16316,18676.309871988182,95,83
1543.6772688840622,1.342952309421595e-05,11.28206491470337,14,16585,18733.169083851943,89,81
1687.6265294166699,8.555870506241767e-06,11.261465311050415,14,16349,18704.776599767712,90,82
1914.8341543213849,1.28466524114807e-05,11.148019075393677,14,16294,18711.885988054248,92,82
1570.3632209774767,2.5566275751285764e-05,11.214032173156738,14,16359,18713.8367650832,90,82
1494.2499200611448,2.5530435959405086e-05,11.236968040466309,14,16555,18771.111410961814,89,80
1832.2056524044149,2.756260558468597e-05,11.09942102432251,14,16354,18859.180102336108,87,78
1754.67233184746,3.809465054716999e-05,11.33286452293396,14,16541,18857.207592992076,90,78
1754.1224112650516,1.1367947248438333e-05,11.188773155212402,14,16361,18890.382362379445,85,77
1528.3832289186332,2.0289496312112747e-05,11.1696138381958,14,16482,18817.23912292196,87,78
1753.4024951699212,2.0482504107259962e-05,11.265010118484497,14,16370,18889.70037186796,87,77
1592.9902146235463,1.9127509060317654e-05,11.262966394424438,14,16571,18879.115011481703,88,77
1494.1174913253897,1.0080523752364641e-05,11.351358652114868,14,16630,18857.3739148608,86,78
1782.5101071826305,1.591122289366863e-05,11.193433284759521,14,16351,18874.829340186687,88,77
1633.265492941706,1.5536629879866478e-05,11.205426692962646,14,16841,18941.416730752786,86,77
1663.9153752964526,2.154021514266577e-05,10.821035861968994,14,16337,18978.789753593534,85,75
1762.3758376829244,1.834146394810467e-05,10.74777626991272,14,16422,18951.754581535108,85,75
1786.7984792481307,2.154151178940979e-05,10.945378541946411,14,16670,18910.026746370695,87,76
1733.1855303394498,2.737692150632746e-05,10.796433687210083,14,16478,18967.670779835054,86,75
1590.775274798047,9.88195783517933e-06,10.63262677192688,14,16716,18976.04592650762,83,75
1603.300133977249,2.6860226958380245e-05,10.614197969436646,14,16513,19005.507438078926,83,74
1585.8494808846026,2.5580157282683665e-05,10.56464147567749,14,16599,18978.401361388096,81,75
1728.7995968924636,6.315729934459612e-06,10.460066795349121,14,16718,18993.371270134074,85,74
1703.9790242798829,1.1482365071594143e-05,10.61650562286377,14,16552,18894.258129696704,85,76
1664.3242661869313,9.587273408432906e-06,13.131847858428955,14,16296,19002.341902974564,85,75
1756.5251192083142,2.2080414743774103e-05,10.326008558273315,14,16537,19016.948608589566,81,73
1824.5538220802557,1.7365222926114896e-05,10.413417339324951,14,16629,19018.072456268696,83,73
1773.0852177594406,2.9253275281367972e-05,10.494413137435913,14,16404,19042.771240968534,82,73
1773.1529390928008,7.970901391913937e-06,10.477248430252075,14,16360,19005.46207279585,83,73
1525.3755900498777,2.034138385952097e-05,10.69126558303833,14,16825,18985.407264173966,83,73
1452.3691691963877,1.4198475162731434e-05,10.729614734649658,14,16851,19037.69764814019,80,73
1726.8020769321151,8.419288678730357e-06,10.809763431549072,14,16511,19037.053234668754,83,73
1520.0983835239776,1.4740188581317614e-05,10.628875494003296,14,16770,19068.47844552351,82,72
