rmse_I,rmse_Beta,time_predict,day,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
51401.2440746823,4.646877818894613e-06,0.0009992122650146484,12,67342.0,166721.44780681335,20,21
63830.850372953406,2.2327300954419155e-06,0.0010001659393310547,19,127866.0,246896.39544101496,27,30
53960.17181920731,5.72150067283166e-06,0.0,10,115059.0,232938.7787395561,18,18
51971.14502954271,6.683252584753632e-07,0.0009989738464355469,28,85967.0,82001.57129134277,41,56
58653.85781116504,1.6792356710751753e-06,0.0009987354278564453,20,120396.0,219563.9461657817,29,33
58337.46179067778,8.379683916187538e-06,0.0009982585906982422,9,103314.0,219892.25059034317,16,15
42571.6457384513,6.65345770858948e-07,0.0009992122650146484,25,49631.0,62221.35383509055,35,52
54903.45745228134,4.119137961789122e-06,0.0010020732879638672,10,189499.0,324627.4564024253,18,18
30733.113103643136,4.7293605714860065e-06,0.0009987354278564453,15,24345.0,60768.978314415974,20,26
49480.05991934116,3.57102076693545e-06,0.00099945068359375,9,295718.0,397930.8768071465,19,17
60135.22487786477,6.484986579283909e-06,0.0009992122650146484,9,128560.0,266625.06355334166,18,16
52118.35900110839,6.856350812720766e-06,0.0,10,80709.0,182499.81931241349,18,18
59544.38175733814,7.308306712628676e-06,0.0009970664978027344,10,123887.0,243635.16444472878,18,16
57522.03675395644,4.789767010096623e-06,0.0010027885437011719,12,164814.0,278726.65814940893,20,19
40726.158343581104,9.715104291761443e-07,0.0,30,56192.0,63338.520515291755,41,53
51262.68036361844,4.1585022427486056e-06,0.0010001659393310547,9,260476.0,377660.35217392794,19,17
45768.40118704998,1.9210114852413404e-06,0.0009996891021728516,13,213123.0,344708.4432559778,24,24
57307.35616520524,2.2091350947825e-06,0.0009996891021728516,12,254109.0,330217.9614238008,22,22
28695.497155323104,2.338615900691437e-06,0.0010027885437011719,19,30154.0,53794.76129009717,26,34
65496.21008714716,1.1549290968866076e-06,0.0010013580322265625,15,141413.0,300228.31218137254,27,30
65197.784773755324,1.8679298409188272e-06,0.0,15,113723.0,175849.09036265474,23,28
68666.23579823333,1.1055031858094531e-06,0.0010013580322265625,19,229622.0,317637.713309996,31,33
62920.70322594737,3.6498096682101223e-06,0.0009987354278564453,14,106508.0,262137.66545049124,23,23
65703.09343388816,3.1215008221960592e-06,0.0009989738464355469,12,111506.0,250716.44918306812,20,22
39179.29053679449,8.283706773666741e-06,0.0,11,38980.0,107793.60190016576,16,18
50918.7695314908,3.855249006425195e-06,0.0,8,346746.0,435124.8497072174,17,16
29588.767107525087,8.299328390260405e-06,0.0,14,17567.0,52355.98399119897,18,23
54824.17880396604,5.311007050025825e-06,0.0010004043579101562,11,168398.0,285661.6476070932,20,18
64291.91910030856,3.915432119159011e-06,0.00099945068359375,11,166810.0,320919.64829021465,20,20
61291.841393243616,5.340439032860886e-06,0.0,9,173019.0,287246.6171593934,17,16
58738.14703871583,4.768306797372458e-06,0.0,9,217347.0,337861.9568830499,17,16
57725.37281039054,6.142510833320032e-06,0.0009982585906982422,11,104662.0,208739.15811586013,18,18
39999.527028527686,4.5077261301411073e-07,0.0009996891021728516,33,60577.0,58929.46912720507,45,71
54950.979161346695,3.8812118122291574e-06,0.0,10,227076.0,380227.9157800385,19,17
53415.22386415631,5.974945956065233e-06,0.0,11,77752.0,179490.79486871482,17,18
81981.0753650121,1.1212385485205304e-06,0.002000570297241211,18,245134.0,316017.7288448089,29,33
67719.01868554812,1.1485306357035586e-06,0.0009996891021728516,18,128979.0,222238.4612058676,27,34
48428.11258463997,4.4785351480883654e-06,0.0009989738464355469,9,279936.0,383455.46879395226,17,16
72013.78847524595,6.476990265242092e-07,0.0010020732879638672,30,147914.0,193433.79800134926,46,54
50283.80804380703,4.5626394618395994e-06,0.0,9,286737.0,391507.407964558,18,16
55542.50794692274,4.82025393972513e-06,0.00099945068359375,12,192862.0,305679.10324061126,21,20
50638.223732799976,4.8829466710543345e-06,0.001001596450805664,9,292147.0,391842.07999473315,17,15
44763.18048466157,3.017885988886051e-06,0.0,10,334409.0,446717.96567750745,20,18
60392.32438068586,5.249260532637189e-06,0.0,9,175525.0,285331.64379098173,17,16
47529.16612915108,7.905942320587444e-06,0.0,11,38729.0,106028.01470705187,17,19
49034.2385383627,3.872258338434081e-06,0.0010001659393310547,9,362799.0,465749.6291244094,18,16
46329.07926821383,6.242099445027745e-06,0.0010001659393310547,12,49783.0,125726.49340321074,18,20
44831.775229014434,5.639289333932257e-07,0.0009996891021728516,29,66620.0,64997.13142057939,42,62
53877.76048854176,1.2781297291275742e-06,0.0010030269622802734,16,122339.0,207109.5428826167,27,32
48058.57476142419,3.997534762910115e-06,0.0010008811950683594,10,378718.0,465116.531800736,18,17
49032.21469440567,3.7489738234838773e-06,0.0009996891021728516,11,234109.0,346172.86683953507,21,19
37574.061707442765,3.0218419822356705e-06,0.0009999275207519531,19,21599.0,64737.298624835086,24,32
48724.229510268655,3.3696360813584366e-06,0.0010018348693847656,11,372217.0,450499.32126649696,21,19
47641.937634212474,8.801262681653543e-06,0.0,11,39764.0,108659.28213600299,17,19
62921.486730505494,1.103353796813293e-06,0.0010020732879638672,25,54862.0,94739.04663960727,31,43
68166.27824126679,8.428951829178568e-07,0.00099945068359375,26,112066.0,267820.2851208417,45,45
60061.64927265038,6.842209038154203e-06,0.0010006427764892578,10,121783.0,241261.10614620955,18,16
53618.73278562403,5.424743936127296e-06,0.0009996891021728516,8,216422.0,340630.09455570445,17,15
56771.00080885111,6.579849156408884e-06,0.0009996891021728516,8,209585.0,347148.55336182495,17,15
69248.2653550895,2.303233654597459e-06,0.0009996891021728516,14,113012.0,277457.6541455539,25,25
57655.88975951993,7.225749135520993e-06,0.0010917186737060547,9,88888.0,215599.70358635442,17,16
37859.840964883566,1.528607590262965e-06,0.0010030269622802734,20,35977.0,66744.44732621653,27,37
39288.96496501867,5.9327274971226394e-06,0.0010001659393310547,12,32331.0,95959.15733315064,19,21
63386.630830241156,1.3546343439976143e-06,0.0010035037994384766,22,72955.0,144612.4193728362,29,37
42694.069718076295,3.3788936219091954e-06,0.0009996891021728516,9,361844.0,454421.8100512585,18,17
50078.91180694286,2.541762345049434e-06,0.0,18,51056.0,103557.26909171147,25,31
54326.481000287655,2.5869047336638564e-06,0.0009963512420654297,10,222407.0,374185.35980878223,20,20
70167.90242130664,1.1880103264752743e-06,0.0010004043579101562,17,117078.0,251567.35870277107,27,32
53275.939380368814,3.347191961038609e-06,0.0,12,227801.0,341722.1354833046,20,20
50935.997836114206,7.119426007680639e-07,0.00099945068359375,29,79855.0,91435.70277278995,42,55
53658.19264334786,7.478120175949294e-06,0.0,11,63522.0,159773.80918623856,18,18
44987.9290513043,8.332512862956214e-06,0.0,11,36624.0,107929.57802508095,17,19
69537.93959160864,4.734030262017261e-07,0.002000570297241211,30,125090.0,157409.2032069947,41,55
53441.51753597493,8.98709195525208e-07,0.0010020732879638672,29,32174.0,97916.26359318738,38,49
55394.603377292806,4.612020438938422e-06,0.0009999275207519531,12,190675.0,302966.64797211194,20,19
46916.282646718886,3.0951568584424e-06,0.0010020732879638672,10,268431.0,391192.84814886324,19,19
68964.98186530097,1.6325486778864034e-06,0.000997781753540039,16,69033.0,214917.52668605445,26,29
54813.02490232777,1.876603315514678e-06,0.0009989738464355469,27,47258.0,104731.03335829046,34,42
55782.36983726496,3.76166111029633e-06,0.0010001659393310547,9,203617.0,346354.45277685334,18,18
59796.57027281205,2.031431238121266e-06,0.001001596450805664,12,229317.0,376350.1456949277,22,22
51432.18747978215,4.780508437233615e-06,0.0010013580322265625,11,86177.0,195957.8380690124,19,20
54770.206421544484,7.230827515010874e-06,0.0009989738464355469,11,66253.0,159495.13870872295,18,18
53410.694697792685,5.137620673660737e-06,0.0009996891021728516,12,62401.0,145171.41992792542,19,20
55314.95781719817,4.139816324862868e-06,0.0010020732879638672,16,154875.0,269806.78864514583,25,24
53365.724843281416,4.47116604874484e-06,0.0009999275207519531,11,214405.0,329890.1377724012,20,19
39192.07795111773,8.364398348976941e-06,0.0,12,27898.0,80047.73904877694,17,20
50178.25508018151,4.5614607405845465e-06,0.0009992122650146484,17,45872.0,111527.52665473962,24,27
